date,open,close,high,low,volume
2021-01-06,31.9834963000,33.5408874500,33.5788726000,31.9075260000,120064563
2021-01-07,33.6472458700,34.8703677000,34.9235469100,33.6244547800,107832187
2021-01-08,35.1666518700,35.4021598000,35.7212350600,34.8019944300,129959481
2021-01-11,35.3869657400,36.7848192600,37.3545965100,35.3185924700,144523356
2021-01-12,36.8835806500,37.7572391000,38.0231351500,36.1314746800,104448591
2021-01-13,37.4609549300,37.5293282000,37.9699559400,37.1342826400,64910979
2021-01-14,37.5293282000,37.2634321500,38.0459262400,36.8911776800,70377099
2021-01-15,38.3650015000,38.8512114200,40.9403946700,38.3498074400,177574522
2021-01-18,39.1247045000,39.4437797600,40.3250352400,38.8967936000,123764160
2021-01-19,39.7324669000,39.3906005500,40.4389906900,39.1171074700,90188002
2021-01-20,39.5805263000,39.2918391600,40.3554233600,38.7372559700,79228118
2021-01-21,40.2414679100,39.9907659200,40.6441105000,39.6185114500,73671459
2021-01-22,40.1503035500,39.2310629200,40.1503035500,38.7448530000,87000132
2021-01-25,38.8208233000,39.5881233300,39.8540193800,38.0611203000,86536206
2021-01-26,39.5045560000,39.0487342000,40.3402293000,38.7448530000,60117533
2021-01-27,39.2082718300,39.5045560000,40.1882887000,39.2082718300,60923156
2021-01-28,38.7448530000,39.2082718300,39.3146302500,38.5929124000,52386951
2021-01-29,39.6413025400,38.8208233000,39.8540193800,38.6005094300,62148914
2021-02-01,38.7448530000,39.8084372000,40.0971243400,38.3498074400,79662587
2021-02-02,39.7704520500,39.4817649100,40.1123184000,39.2006748000,72030553
2021-02-03,39.5577352100,40.3022441500,41.0239620000,39.1171074700,76587606
2021-02-04,40.1654976100,40.6441105000,41.9356056000,39.9679748300,96910977
2021-02-05,41.0695441800,41.5861422200,42.4977858200,40.7960511000,115157754
2021-02-08,41.9280085700,41.9811877800,42.2394868000,40.7884540700,81637776
2021-02-09,42.0723521400,41.9811877800,42.0723521400,41.2138877500,61900527
2021-02-10,42.7712789000,41.4417986500,42.8472492000,40.9859768500,75350767
2021-02-18,42.2774719500,42.3078600700,43.7588928000,41.9280085700,107091322
2021-02-19,42.2774719500,41.9356056000,43.0827571300,41.6925006400,71018164
2021-02-22,41.9887848100,41.1759026000,42.3458452200,40.5377520800,80151145
2021-02-23,41.2442758700,42.2015016500,43.0979511900,41.1759026000,95299102
2021-02-24,42.4294125500,40.7200808000,42.4294125500,40.1503035500,84432226
2021-02-25,41.4038135000,41.3658283500,42.1635165000,40.9555887300,88618727
2021-02-26,40.7200808000,38.8208233000,41.3658283500,38.6384945800,132728876
2021-03-01,38.8284203300,38.2814341700,38.9727639000,38.0079410900,89418363
2021-03-02,38.6384945800,37.6432836500,38.6688827000,37.2330440300,100778621
2021-03-03,37.9851500000,40.0895273100,40.2490649400,37.6812688000,131593315
2021-03-04,39.6488995700,39.8084372000,40.9327976400,39.5045560000,83303904
2021-03-05,39.4285857000,39.0487342000,39.8008401700,38.0687173300,73519585
2021-03-08,39.1930777700,37.9319707900,39.4893619400,37.7572391000,69813759
2021-03-09,38.0003440600,36.8455955000,38.7296589400,36.6024905400,98322245
2021-03-10,37.2330440300,37.4153727500,37.9851500000,36.8835806500,67590993
